Name,ExpectedWins
will,9.596479533709891
robbie,9.559237780512037
kevin,8.969452180385472
dan,8.926935778289542
tymande,8.893158136049722
jason,6.518993036452332
rick,4.037880221517581
reece,3.332159270175286
