Name,Ranking
kdogg,100.0
dogs,89.47350874100741
bye,86.32520434861743
dan,77.60742438790186
smile,75.44426822425645
left,73.15340766058857
pablo,71.16095839901398
sang,70.10935175801286
jesioneka,67.45622769224052
rob,49.259653795165434
sig,20.9301266881465
mitch,14.727341544199376
